age,state,state.fips,origin,hiv,homeless.past.year,n,n.tx.comp.12mo,n.elig.tx.comp.12mo
0-4 years,Alabama,1,US - Born,Negative,No,24,9,13
0-4 years,Alabama,1,US - Born,Not Reported,No,111,88,98
0-4 years,Alabama,1,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Alabama,1,Foreign - Born,Not Reported,No,6,5,5
0-4 years,Alaska,2,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Alaska,2,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Alaska,2,US - Born,Not Reported,No,61,53,55
0-4 years,Alaska,2,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Alaska,2,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Alaska,2,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,US - Born,Negative,No,71,51,55
0-4 years,Arizona,4,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,US - Born,Not Reported,No,122,78,94
0-4 years,Arizona,4,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,Foreign - Born,Negative,No,17,8,8
0-4 years,Arizona,4,Foreign - Born,Negative,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Arizona,4,Foreign - Born,Not Reported,No,21,16,19
0-4 years,Arizona,4,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Arkansas,5,US - Born,Negative,No,10,4,5
0-4 years,Arkansas,5,US - Born,Not Reported,No,87,74,79
0-4 years,Arkansas,5,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Arkansas,5,Foreign - Born,Not Reported,No,14,14,14
0-4 years,Arkansas,5,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Arkansas,5,Not Reported,Not Reported,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,California,6,US - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,California,6,US - Born,Not Reported,No,1899,1348,1616
0-4 years,California,6,US - Born,Not Reported,Yes,27,24,26
0-4 years,California,6,US - Born,Not Reported,Not Reported,69,47,65
0-4 years,California,6,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,California,6,Foreign - Born,Not Reported,No,514,415,480
0-4 years,California,6,Foreign - Born,Not Reported,Yes,6,5,5
0-4 years,California,6,Foreign - Born,Not Reported,Not Reported,27,18,25
0-4 years,California,6,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,California,6,Not Reported,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Colorado,8,US - Born,Negative,No,18,12,14
0-4 years,Colorado,8,US - Born,Not Reported,No,44,38,40
0-4 years,Colorado,8,US - Born,Not Reported,Yes,Suppressed,Not Applicable,Not Applicable
0-4 years,Colorado,8,Foreign - Born,Negative,No,11,7,7
0-4 years,Colorado,8,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Colorado,8,Foreign - Born,Not Reported,No,15,14,14
0-4 years,Connecticut,9,US - Born,Negative,No,9,3,5
0-4 years,Connecticut,9,US - Born,Not Reported,No,14,13,14
0-4 years,Connecticut,9,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Connecticut,9,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Connecticut,9,Foreign - Born,Not Reported,No,6,6,6
0-4 years,Delaware,10,US - Born,Negative,No,5,4,5
0-4 years,Delaware,10,US - Born,Not Reported,No,23,16,20
0-4 years,Delaware,10,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Delaware,10,Foreign - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Delaware,10,Foreign - Born,Not Reported,No,5,5,5
0-4 years,District of Columbia,11,US - Born,Negative,No,22,17,19
0-4 years,District of Columbia,11,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,District of Columbia,11,US - Born,Not Reported,No,9,4,6
0-4 years,District of Columbia,11,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,District of Columbia,11,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,District of Columbia,11,Foreign - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,District of Columbia,11,Not Reported,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,District of Columbia,11,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Florida,12,US - Born,Negative,No,166,102,118
0-4 years,Florida,12,US - Born,Positive,No,8,2,5
0-4 years,Florida,12,US - Born,Positive,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Florida,12,US - Born,Not Reported,No,256,183,209
0-4 years,Florida,12,US - Born,Not Reported,Not Reported,35,23,33
0-4 years,Florida,12,Foreign - Born,Negative,No,24,22,22
0-4 years,Florida,12,Foreign - Born,Positive,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Florida,12,Foreign - Born,Not Reported,No,49,39,45
0-4 years,Florida,12,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Florida,12,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,US - Born,Negative,No,158,114,125
0-4 years,Georgia,13,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,US - Born,Not Reported,No,322,240,277
0-4 years,Georgia,13,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,Foreign - Born,Negative,No,20,16,16
0-4 years,Georgia,13,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,Foreign - Born,Not Reported,No,30,25,26
0-4 years,Georgia,13,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Georgia,13,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Hawaii,15,US - Born,Negative,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Hawaii,15,US - Born,Not Reported,No,22,19,21
0-4 years,Hawaii,15,US - Born,Not Reported,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,Hawaii,15,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Hawaii,15,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Idaho,16,US - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Idaho,16,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Idaho,16,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Idaho,16,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Idaho,16,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Illinois,17,US - Born,Negative,No,45,27,32
0-4 years,Illinois,17,US - Born,Negative,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Illinois,17,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Illinois,17,US - Born,Not Reported,No,328,252,301
0-4 years,Illinois,17,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Illinois,17,US - Born,Not Reported,Not Reported,27,17,24
0-4 years,Illinois,17,Foreign - Born,Negative,No,11,9,11
0-4 years,Illinois,17,Foreign - Born,Not Reported,No,47,40,44
0-4 years,Illinois,17,Not Reported,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Illinois,17,Not Reported,Not Reported,No,6,6,6
0-4 years,Illinois,17,Not Reported,Not Reported,Not Reported,9,5,8
0-4 years,Indiana,18,US - Born,Negative,No,11,8,9
0-4 years,Indiana,18,US - Born,Not Reported,No,71,52,59
0-4 years,Indiana,18,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Indiana,18,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Indiana,18,Foreign - Born,Not Reported,No,14,9,10
0-4 years,Indiana,18,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Indiana,18,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Iowa,19,US - Born,Not Reported,No,11,9,10
0-4 years,Iowa,19,Foreign - Born,Not Reported,No,6,5,5
0-4 years,Iowa,19,Foreign - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Kansas,20,US - Born,Negative,No,15,8,8
0-4 years,Kansas,20,US - Born,Not Reported,No,40,30,35
0-4 years,Kansas,20,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Kansas,20,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Kansas,20,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Kansas,20,Not Reported,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Kentucky,21,US - Born,Negative,No,6,5,5
0-4 years,Kentucky,21,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Kentucky,21,US - Born,Not Reported,No,68,57,63
0-4 years,Kentucky,21,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Kentucky,21,US - Born,Not Reported,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,Kentucky,21,Foreign - Born,Negative,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Louisiana,22,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,US - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Louisiana,22,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Maine,23,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Maine,23,Foreign - Born,Not Reported,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Maryland,24,US - Born,Negative,No,33,26,29
0-4 years,Maryland,24,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Maryland,24,US - Born,Not Reported,No,91,75,77
0-4 years,Maryland,24,Foreign - Born,Negative,No,7,6,6
0-4 years,Maryland,24,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Maryland,24,Foreign - Born,Not Reported,No,18,11,14
0-4 years,Massachusetts,25,US - Born,Negative,No,11,7,9
0-4 years,Massachusetts,25,US - Born,Not Reported,No,78,58,70
0-4 years,Massachusetts,25,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Massachusetts,25,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Massachusetts,25,Foreign - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Massachusetts,25,Foreign - Born,Not Reported,No,8,6,8
0-4 years,Massachusetts,25,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Michigan,26,US - Born,Negative,No,17,11,13
0-4 years,Michigan,26,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Michigan,26,US - Born,Not Reported,No,122,91,107
0-4 years,Michigan,26,US - Born,Not Reported,Not Reported,20,12,19
0-4 years,Michigan,26,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Michigan,26,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Michigan,26,Foreign - Born,Not Reported,No,15,12,14
0-4 years,Michigan,26,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Michigan,26,Foreign - Born,Not Reported,Not Reported,8,7,8
0-4 years,Minnesota,27,US - Born,Negative,No,33,21,24
0-4 years,Minnesota,27,US - Born,Not Reported,No,55,30,38
0-4 years,Minnesota,27,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Minnesota,27,US - Born,Not Reported,Not Reported,8,6,8
0-4 years,Minnesota,27,Foreign - Born,Negative,No,15,11,11
0-4 years,Minnesota,27,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Minnesota,27,Foreign - Born,Not Reported,No,20,19,19
0-4 years,Minnesota,27,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Minnesota,27,Not Reported,Not Reported,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,Mississippi,28,US - Born,Negative,No,74,56,65
0-4 years,Mississippi,28,US - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Mississippi,28,US - Born,Not Reported,No,30,26,26
0-4 years,Mississippi,28,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Mississippi,28,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Missouri,29,US - Born,Negative,No,18,13,16
0-4 years,Missouri,29,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Missouri,29,US - Born,Not Reported,No,44,37,40
0-4 years,Missouri,29,US - Born,Not Reported,Not Reported,6,6,6
0-4 years,Missouri,29,Foreign - Born,Negative,No,6,4,4
0-4 years,Missouri,29,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,Missouri,29,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Montana,30,US - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Montana,30,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Montana,30,US - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Nebraska,31,US - Born,Negative,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Nebraska,31,US - Born,Negative,Yes,Suppressed,Not Applicable,Not Applicable
0-4 years,Nebraska,31,US - Born,Not Reported,No,13,12,12
0-4 years,Nebraska,31,Foreign - Born,Negative,No,Suppressed,Suppressed,Suppressed
0-4 years,Nebraska,31,Foreign - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,Nevada,32,US - Born,Negative,No,21,11,14
0-4 years,Nevada,32,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,Nevada,32,US - Born,Negative,Not Reported,Suppressed,Not Applicable,Not Applicable
0-4 years,Nevada,32,US - Born,Positive,No,Suppressed,Not Applicable,Not Applicable
0-4 years,Nevada,32,US - Born,Not Reported,No,25,15,16
0-4 years,Nevada,32,Foreign - Born,Negative,No,5,3,3
0-4 years,Nevada,32,Foreign - Born,Not Reported,No,6,4,4
0-4 years,New Hampshire,33,US - Born,Negative,Not Reported,Suppressed,Suppressed,Suppressed
0-4 years,New Hampshire,33,US - Born,Not Reported,No,Suppressed,Suppressed,Suppressed
0-4 years,New Hampshire,33,Foreign - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New Jersey,34,US - Born,Negative,No,77,52,59
0-4 years,New Jersey,34,US - Born,Negative,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New Jersey,34,US - Born,Positive,No,11,2,8
0-4 years,New Jersey,34,US - Born,Not Reported,No,167,114,145
0-4 years,New Jersey,34,US - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New Jersey,34,Foreign - Born,Negative,No,6,3,4
0-4 years,New Jersey,34,Foreign - Born,Positive,No,Suppressed,Suppressed,Suppressed
0-4 years,New Jersey,34,Foreign - Born,Not Reported,No,20,12,20
0-4 years,New Jersey,34,Foreign - Born,Not Reported,Yes,Suppressed,Suppressed,Suppressed
0-4 years,New Mexico,35,US - Born,Negative,No,5,2,3
0-4 years,New Mexico,35,US - Born,Not Reported,No,24,16,18
